beneficiario,EJERCICIO,programa,componente,unidad_administrativa,cve_entidad,entidad,monto_federal_aportado,tipo_cobertura,nom_abr,rnpa,unidadeconmica,tipo_ue,tipopersona_ue,representantelegal_ue,tipoempresa_ue,estado_ue,cve_ent_ue,municipio,cve_mun,localidad_ue,cve_loc,cve_inegi,ambito_ue,latitud_ue,longitud_ue,altitud_ue,lat_dec_ue,lon_dec_ue,iniciooper,fechaderegistroactualizacion_ue,RNPA_disponible,zona,clasificacion_cn
SCPP RIBERENA ISLAS UNIDAS SC DE RL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,28,TAMAULIPAS,230175,ESTATAL,TAMPS,2807000233,SCPP RIBERENA ISLAS UNIDAS SC DE RL,CAPTURA,MORAL,ALEJANDRO GONZALEZ GARCIA,COOPERATIVA,TAMAULIPAS,28,MATAMOROS,22,HEROICA MATAMOROS,1,280220001,U,255247.695,973017.361,9,25.879915,-97.504823,18/08/2011,27/04/16,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP RIBERENA LA SANTA MARIA SC DE RL DE CV,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,20,OAXACA,242066.4,ESTATAL,OAX,2003000169,SCPP RIBERENA LA SANTA MARIA SC DE RL DE CV,"ACUACULTURA, CAPTURA",MORAL,FERNANDO REY LOPEZ JIMENEZ,COOPERATIVA,OAXACA,20,SANTA MARIA HUATULCO,413,SANTA MARIA HUATULCO,1,204130001,U,155010.001,961919.535,220,15.836111,-96.322093,18/08/2011,4/5/2017,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
SCPP RIBERENA PESCADORES DE SAN FERNANDO SC DE RL,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,280970,ESTATAL,TAMPS,2804001689,SCPP PESCADORES DE SAN FERNANDO SCL,CAPTURA,MORAL,NO DISPONIBLE,COOPERATIVA,NO DISPONIBLE,28,NO DISPONIBLE,NA,NO DISPONIBLE,NA,NA,NA,NA,NA,NA,NA,NA,18/08/2011,18/08/11,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP RINCON DE LAS FLORES SC DE RL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,28,TAMAULIPAS,460350,ESTATAL,TAMPS,2804001176,SCPP RINCON DE LAS FLORES SC DE RL,CAPTURA,MORAL,ANTONIO MARTINEZ MARCOS,COOPERATIVA,TAMAULIPAS,28,MATAMOROS,22,RINCON DE LAS FLORES,579,280220579,R,252547.18,972735.56,0,25.429772,-97.459878,18/08/2011,9/5/2016,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP SALTO CHICO SCL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,25,SINALOA,104400,ESTATAL,SIN,2501001420,SCPP SALTO CHICO SCL,CAPTURA,MORAL,GASPAR ESPINOZA FRANCO,COOPERATIVA,SINALOA,25,ELOTA,8,CAMPO EL SALTO,441,250080441,R,240737.377,1064401.176,154,24.127049,-106.73366,24/06/1991,10/3/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPP TIBURONEROS Y ESCAMEROS DE LAS COSTAS DE COLIMA SC DE RL,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,6,COLIMA,871425.6,ESTATAL,COL,601002207,SCPP TIB Y ESC DE LAS COSTAS DE COLIMA SC DE RL,CAPTURA,MORAL,FRANCISCO PEREZ SANCHEZ,COOPERATIVA,COLIMA,6,MANZANILLO,7,EL COLOMO,21,60070021,U,190336.229,1041528.681,10,19.060064,-104.257967,18/08/2011,1/12/2014,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
SCPP UNIDOS EN LAS 2OO MILLAS SC DE RL DE CV,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,923042,ESTATAL,TAMPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SCPP Y COMERCIALIZACION DEL NOROESTE DE MEXICO SCL,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,661200,ESTATAL,SON,2609001504,SCPP Y COMERCIALIZACION DEL NOROESTE DE MEXICO SCL,CAPTURA,MORAL,CARLOS ARMANDO LOPEZ MEDINA,COOPERATIVA,SONORA,26,HUATABAMPO,33,HUATABAMPO,1,260330001,U,264936.829,1093838.952,9,26.826897,-109.644153,18/08/2011,21/03/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA CECILIO RENDON MORA SC DE RL DE CV,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,18,NAYARIT,144430,ESTATAL,NAY,1803000643,SCPPA CECILIO RENDON MORA SC DE RL DE CV,CAPTURA,MORAL,NO DISPONIBLE,COOPERATIVA,NO DISPONIBLE,18,NO DISPONIBLE,NA,NO DISPONIBLE,NA,NA,NA,NA,NA,NA,NA,NA,18/08/2011,18/08/11,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA EJIDO DE PAJARITOS SC DE RL DE CV,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,118612,ESTATAL,NAY,1803000601,SCPPA EJIDO PAJARITOS SC DE RL DE CV,CAPTURA,MORAL,ARISTEO HERRERA ESCAMILLA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,NAYARIT,18,TECUALA,16,PAJARITOS,32,180160032,R,222727.569,1053142.706,3,22.457658,-105.528529,18/08/2011,3/4/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA FRATERNIDAD DE PESCADORES DE PIMIENTILLO SC DE RL DE CV,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,102800,ESTATAL,NAY,1805001045,SCPPA FRAT DE PESC DE PIMIENTILLO SC DE RL DE CV,CAPTURA,MORAL,JULIAN LOPEZ BAQUERA,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,PIMIENTILLO,25,180100025,R,220058.038,1052438.956,0,22.016122,-105.410821,10/3/1994,5/7/2016,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA GORREBERTO SC DE RL DE CV,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,153089.3,ESTATAL,NAY,1805000815,SCPPA GORREBERTO SC DE RL DE CV,CAPTURA,MORAL,HECTOR MANUEL GARCIA MARTINEZ,COOPERATIVA,NAYARIT,18,SANTIAGO IXCUINTLA,15,PUERTA DE PALAPARES,57,180150057,R,220617.117,1053747.74,0,22.104755,-105.629928,10/3/1994,22/03/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA GRANJEROS DE PERICOS SC DE RL DE CV,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,138138,ESTATAL,NAY,1805000708,SCPPA GRANJEROS DE PERICOS SC DE RL DE CV,CAPTURA,MORAL,ANTONIO ARAMBULA PONCE,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,PERICOS,22,180100022,R,220257.212,1052115.908,1,22.049226,-105.354419,10/10/1994,8/3/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA IGNLOGAR SC DE RL DE CV,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,138398,ESTATAL,NAY,1803000460,SCPPA IGNLOGAR SC DE RL DE CV,CAPTURA,MORAL,MARTIN SANCHEZ RODRIGUEZ,COOPERATIVA,NAYARIT,18,TECUALA,16,ANTONIO R LAURELES,4,180160004,R,221413.796,1052545.464,1,22.237166,-105.429296,3/9/1990,19/04/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA LA UNICA DE SAN MIGUEL SC DE RL DE CV,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,138138,ESTATAL,NAY,1805000781,SCPPA LA UNICA DE SAN MIGUEL SC DE RL DE CV,CAPTURA,MORAL,JOSE MARTIN ROSALES LOPEZ,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,SAN MIGUEL,53,180100053,R,220959,1050242,157,22.166389,-105.045,28/02/2012,21/02/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA LLANO DEL TIGRE SC DE RL DE CV,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,18,NAYARIT,193592,ESTATAL,NAY,1805000849,SCPPA LLANO DEL TIGRE SC DE RL DE CV,CAPTURA,MORAL,ELVIS ORLANDO DURAN TIZNADO,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,LLANO DEL TIGRE,14,180100014,R,220737.716,1051815.88,3,22.127143,-105.304411,18/08/2011,10/2/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA PESCADORES DE SAN MIGUEL SC DE RL DE CV,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,18,NAYARIT,133146,ESTATAL,NAY,1805001060,SCPPA PESC DE SAN MIGUEL SC DE RL DE CV,CAPTURA,MORAL,JUAN JOSE PEREZ RAMOS,COOPERATIVA,NAYARIT,18,ROSAMORADA,10,SAN MIGUEL,53,180100053,R,220959,1050242,157,22.166389,-105.045,10/8/1994,31/03/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA PESCADORES UNIDOS DE CORRIENTES SC DE RL DE CV,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,18,NAYARIT,144430,ESTATAL,NAY,1805000682,SCPPA PESC UNIDOS DE CORRIENTES SC DE RL DE CV,CAPTURA,MORAL,NORBERTO VILLARREAL,COOPERATIVA,NAYARIT,18,TUXPAN,18,UNION DE CORRIENTES,18,180180018,R,215836.659,1052549.738,2,21.97685,-105.430483,13/09/1990,9/3/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA PUERTA DE PALAPARES SC DE RL DE CV,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,18,NAYARIT,88124,ESTATAL,NAY,1805001029,SCPPA PUERTA DE PALAPARES SC DE RL DE CV,CAPTURA,MORAL,JOSE MARIO DIAZ GARCIA,COOPERATIVA,NAYARIT,18,SANTIAGO IXCUINTLA,15,PUERTA DE PALAPARES,57,180150057,R,220617.117,1053747.74,0,22.104755,-105.629928,10/8/1994,9/6/2016,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA UNION DE PESCADORES INDIGENAS DE AGUAMILPA SC DE RL DE CV,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,18,NAYARIT,102672,ESTATAL,NAY,1804001228,SCPPA UNION DE PESC INDIGENAS DE AGUAMILPA SC DE RL CV,CAPTURA,MORAL,NO DISPONIBLE,COOPERATIVA,NO DISPONIBLE,18,NO DISPONIBLE,NA,NO DISPONIBLE,NA,NA,NA,NA,NA,NA,NA,NA,18/08/2011,18/08/11,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SCPPA Y TURISTICA LA CURVA DE JESUS MARIA SC DE RL DE CV,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,25,SINALOA,104400,ESTATAL,SIN,2501001792,SCPP LA CURVA DE JESUS MARIA DE CV,CAPTURA,MORAL,EPIGMENIO FELIX LARA,COOPERATIVA,SINALOA,25,CULIACAN,6,JESUS MARIA,421,250060421,R,250519.222,1072706.862,185,25.088673,-107.451906,1/4/1995,9/2/2017,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SISTEMA PRODUCTO CAMARON DE ALTAMAR DEL ESTADO DE CAMPECHE AC,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,2007740,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
SOCIEDAD DE PRODUCCION PESQUERA RIBERENA Y ACUACULTURA UNIDOS EN SOLIDARIDAD SC DE RL,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,280970,ESTATAL,TAMPS,2808006346,SCPP RIBERENA Y ACUACULTURA UNIDOS EN SOLIDARIDAD SC DE RL,CAPTURA,MORAL,CESAR MEZA CRISTOBAL,COOPERATIVA,TAMAULIPAS,28,MATAMOROS,22,EL MEZQUITAL,1836,280221836,R,252213.047,972245.726,0,25.370291,-97.379368,18/08/2011,27/04/16,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
SOCIEDAD DE PRODUCCION RURAL PUNTA CANOAS SRL DE CV,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,441295.47,ESTATAL,BC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
SOCIEDAD DE SOLIDARIDAD SOCIAL PRODUCCION PESQUERA ALLENDE SSS,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,13,HIDALGO,140800,ESTATAL,HGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,AGUAS INTERIORES,INSPECCIÓN Y VIGILANCIA
SUR PACIFIC SPR DE RL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,843600,ESTATAL,BC,203011457,SUR PACIFIC SPR DE RL,CAPTURA,MORAL,JUAN GERARDO ASCENCIO HERMOSILLO,SOCIEDAD DE PRODUCCIÓN RURAL,BAJA CALIFORNIA,2,ENSENADA,1,PUNTA ARENA (CAMPO),498,20014498,R,285755.822,1133247.994,3,28.965506,-113.546665,19/06/2014,18/01/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
TORTOLAS 9O SC DE RL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,8,CHIHUAHUA,470896,ESTATAL,CHIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,AGUAS INTERIORES,INSPECCIÓN Y VIGILANCIA
UNION DE ARMADORES DEL ALTO GOLFO AC,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,26,SONORA,2232600,ESTATAL,SON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
UNION DE PESCADORES BUZOS DE LA COSTA OCCIDENTAL DE BAJA CALIFORNIA SDE RL DE CV,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,166150.8,ESTATAL,BC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
UNION DE PESCADORES DE LA SAUCEDA SC DE RL DE CV,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,14,JALISCO,147000,ESTATAL,JAL,1404002576,UNION DE PESCADORES LA SAUCEDA SC DE RL DE CV,CAPTURA,MORAL,MARTIN PAREDES ZAMBRANO,COOPERATIVA,JALISCO,14,LAGOS DE MORENO,53,LAGOS DE MORENO,1,140530001,U,212123,1015545,1876,21.356389,-101.929167,24/07/2009,30/07/15,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
UNION DE PRODUCTORES PESQUEROS DE HUATABAMPO HG SC DE RL DE CV,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,865080,ESTATAL,SON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
UNION DE PRODUCTORES PESQUEROS DEL MUNICIPIO DE MULEGE SC DE RL DE CV,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,3,BAJA CALIFORNIA SUR,1026313.2,ESTATAL,BCS,305008864,UNION DE PRODUCTORES PESQUEROS DEL MUNICIPIO DE MUELGE SC DE RL DE CV,CAPTURA,MORAL,ARMANDO NARANJO RIVERA,COOPERATIVA,BAJA CALIFORNIA SUR,3,MULEGE,2,HEROICA MULEGE,97,30020097,U,265330.517,1115852.815,14,26.89181,-111.981338,24/04/2012,NA,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
UNION DE SOCIEDADES COOPERATIVAS DE ACTIVIDADES DIVERSAS DE SINALOA Y NAYARIT SC DE RL DE CV,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,85770,ESTATAL,SIN,2504002177,UNION DE SOCIEDADES COOPERATIVAS DE ACTIVIDADES DIVERSAS DE SINALOA Y NAYARIT SC DE RL DE CV,ACUACULTURA,MORAL,HORACIO ARTURO TORRUCO TORRECILLAS,GRUPO DE ACUACULTORES,SINALOA,25,ESCUINAPA,9,ISLA DEL BOSQUE,34,250090034,U,224356.248,1055052.594,7,22.732291,-105.847943,29/09/2003,31/01/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
UNION DE SOCIEDADES COOPERATIVAS PESQUERAS DEL PUERTO DE TOPOLOBAMPO SRL DE CV,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,2021760,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
UNION DE SOCIEDADES COOPERATIVAS PESQUERAS Y ARMADORES TOPO VIEJO SC DE RL DE CV,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,25,SINALOA,682493.25,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
UNION DE TRABAJADORES Y PESCADORES DEL LAGO DE CHAPALA SC DE RL,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,14,JALISCO,357960,ESTATAL,JAL,1403002551,UNION DE TRABAJADORES Y PESCADORES DEL LAGO DE CHAPALA SC DE RL DE CV,CAPTURA,MORAL,JOSE LUIS MORALES GUTIERREZ,COOPERATIVA,JALISCO,14,CHAPALA,30,CHAPALA,1,140300001,U,201736,1031123,1539,20.293333,-103.189722,18/08/2011,8/5/2017,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
UNION ESTATAL DE PESCA Y ACUACULTURA BCS AC,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,3,BAJA CALIFORNIA SUR,824400,ESTATAL,BCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
UNIVERSIDAD TECNOLOGICA DEL MAR DE TAMAULIPAS BICENTENARIO,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,28,TAMAULIPAS,959450,ESTATAL,TAMPS,2810000725,UNIVERSIDAD TECNOLOGICA DEL MAR DE TAMAULIPAS BICENTENARIO,ACUACULTURA,MORAL,ANTONIO GARZA DE YTA,INSTITUCIÓN DOCENCIA E INVESTIGACION,TAMAULIPAS,28,SOTO LA MARINA,37,VISTA HERMOSA,209,280370209,R,234803.946,975415.157,13,23.801096,-97.90421,30/07/2010,8/2/2017,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
VICENTE GUADALUPE LARIOS CERVANTES,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,6,COLIMA,336760,ESTATAL,COL,601001274,VICENTE GUADALUPE LARIOS CERVANTES,CAPTURA,FISÍCA,VICENTE GUADALUPE LARIOS CERVANTES,NO_DISPONIBLE,COLIMA,6,MANZANILLO,7,MANZANILLO,1,60070001,U,190311.541,1041858.97,13,19.053206,-104.316381,1/1/2005,9/3/2017,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
VICTORIA POR VICTORIA AC,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,28,TAMAULIPAS,710788,ESTATAL,TAMPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
AGROTURISTICA EL CARRIZO SC DE RL DE CV,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,14,JALISCO,105200,ESTATAL,JAL,1404004002,AGROTURISTA EL CARRIZO SC DE RL DE CV,CAPTURA,MORAL,EFRAIN DEL TORO PULIDO,COOPERATIVA,JALISCO,14,TAMAZULA DE GORDIANO,85,VILLA DE CONTLA (CONTLA),38,140850038,R,194505.489,1031100.421,1160,19.751525,-103.18345,18/02/2009,29/02/16,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
ALIANZA DE PESCADORES DE LERMA AC,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,277312,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
ALIANZA DE PESCADORES DE LERMA AC,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,272640,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
ALIANZA DE PESCADORES DE LERMA AC,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,133440,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
ARMANDO PALACIOS SANTIAGO,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,474474,ESTATAL,VER,3001008709,ARMANDO PALACIOS SANTIAGO,CAPTURA,FISÍCA,ARMANDO PALACIOS SANTIAGO,NO_DISPONIBLE,NO DISPONIBLE,30,NO DISPONIBLE,NA,NO DISPONIBLE,NA,NA,NA,NA,NA,NA,NA,NA,18/08/2011,18/08/11,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ARMANDO PALACIOS SANTIAGO,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,412318,ESTATAL,VER,3001008709,ARMANDO PALACIOS SANTIAGO,CAPTURA,FISÍCA,ARMANDO PALACIOS SANTIAGO,NO_DISPONIBLE,NO DISPONIBLE,30,NO DISPONIBLE,NA,NO DISPONIBLE,NA,NA,NA,NA,NA,NA,NA,NA,18/08/2011,18/08/11,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ASAEL SANTILLANES LOPEZ,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,490360.5,ESTATAL,SIN,2506001813,ASAEL SANTILLANES LOPEZ,CAPTURA,FISÍCA,ASAEL SANTILLANES LOPEZ,NO_DISPONIBLE,SINALOA,25,ANGOSTURA,2,LA REFORMA,93,250020093,U,250450.789,1080313.941,4,25.080775,-108.053873,18/03/2012,23/07/15,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
